"moderate","heavy","collprev","hazardval","complete","immocc","lifesfty","demandtype","guid","insignific","failure_probability"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","0.013537023369181278","0.985"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","65d6e370-c05b-4b2f-bd17-d914d1d056c7","1.0","0.0"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","dad76485-9694-409e-ac7f-c64c7bd5c32c","0.013537023369181278","0.984"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","6f57cfb6-d244-40d5-96f5-03aeddd5e30a","0.013537023369181278","0.985"
"0.0","0.0","0.8311503389540147","502.1213724033405","0.8311503389540147","0.8311503389540147","0.8311503389540147","mmax","929f1040-6224-409d-b4e3-58946daf3b91","0.1688496610459853","0.852"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","1.0","0.0"
"0.0","0.0","0.9999996827863422","9846.855811577037","0.9999996827863422","0.9999996827863422","0.9999996827863422","mmax","3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","3.1721365778558663e-07","1.0"
"0.0","0.1598117079959669","0.6969495903439629","2574.7585096170114","0.6969495903439629","0.8567612983399298","0.8567612983399298","mmax","050589e0-041f-4ac6-83f8-420ac509cdde","0.14323870166007024","0.845"
"0.0","0.0","0.9983895531239425","2184.850166984578","0.9983895531239425","0.9983895531239425","0.9983895531239425","mmax","09c131b1-089b-4f1a-a14b-b705be8f5520","0.001610446876057492","0.995"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","44656106-10fc-423d-bc34-f37a947493e3","0.013537023369181278","0.986"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","0b4073d3-7d7e-439d-b9ef-1373291f37cc","1.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","bef20397-d546-475e-8dfd-b58a422019d8","1.0","0.0"
"0.0","0.0","0.9999812595496808","5218.8186106299745","0.9999812595496808","0.9999812595496808","0.9999812595496808","mmax","f5e2c264-da77-4971-99d8-0c3d7562b986","1.874045031924343e-05","0.999"
"0.0","0.0","0.9999994930705521","9202.183103098489","0.9999994930705521","0.9999994930705521","0.9999994930705521","mmax","d8ffb229-86e0-4907-97a5-84eb9ac248e6","5.069294478632358e-07","1.0"
"0.0","0.13860514860872575","0.7525843159786066","2913.4381909917943","0.7525843159786066","0.8911894645873324","0.8911894645873324","mmax","0bf34a44-f8fe-41b4-a241-7c71ed06aa20","0.10881053541266761","0.899"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","340d43a0-35ff-4738-b11b-849434a662a4","1.0","0.0"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","defedc4a-ea47-45c6-87d5-4c374f6920e5","0.013537023369181278","0.985"
"0.0","0.0","0.9983895531239425","2184.850166984578","0.9983895531239425","0.9983895531239425","0.9983895531239425","mmax","837b8691-a385-4519-a7bc-6eed26afc2a7","0.001610446876057492","1.0"
"0.0","0.0","0.9983895531239425","2184.850166984578","0.9983895531239425","0.9983895531239425","0.9983895531239425","mmax","3ae2a39b-f04a-4654-8d64-672205c5007d","0.001610446876057492","0.996"
"0.0","0.0","0.9983895531239425","2184.850166984578","0.9983895531239425","0.9983895531239425","0.9983895531239425","mmax","ed2894f9-e44b-4ff0-acfb-b05b1367702c","0.001610446876057492","0.999"
"0.0","0.0","0.9983895531239425","2184.850166984578","0.9983895531239425","0.9983895531239425","0.9983895531239425","mmax","b2873126-ea18-4a3b-99d8-ad908f80ef8d","0.001610446876057492","1.0"
"0.0","0.0","0.9999812595496808","5218.8186106299745","0.9999812595496808","0.9999812595496808","0.9999812595496808","mmax","afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","1.874045031924343e-05","1.0"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","113a852a-6876-4931-81f0-5158f0c70d14","0.013537023369181278","0.986"
"0.0","0.0","0.9960886587520019","1767.8397710999582","0.9960886587520019","0.9960886587520019","0.9960886587520019","mmax","9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","0.003911341247998079","0.994"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","4ac0a784-57a8-4437-a8ec-c0fefb85012e","0.013537023369181278","0.986"
"0.0","0.10516563779730226","0.8271325662976277","3532.1923155210247","0.8271325662976277","0.9322982040949299","0.9322982040949299","mmax","25bc3a48-29df-4335-ac04-3e186976490c","0.06770179590507008","0.936"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","3982d6c7-d2a6-48cf-ac99-de1dd8b42864","1.0","0.0"
"0.0","0.0","0.9864629766308187","1267.9038091423536","0.9864629766308187","0.9864629766308187","0.9864629766308187","mmax","da7413ba-bc45-46a7-9516-9bc314d5604b","0.013537023369181278","0.984"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","mmax","a436c038-22b1-4339-920b-cf430b4cf2e4","1.0","0.0"
