"collprev","hazard","moderate","insignific","heavy","lifesfty","immocc","complete","guid","failure_probability"
"0.9928023573072493","Earthquake+Tsunami","0.0025989267705801566","0.00043898672620623636","0.004159729195964301","0.9969620865032136","0.9995610132737938","0.9928023573072493","fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","1.0"
"0.3780648220012457","Earthquake+Tsunami","0.2421632278733491","0.040023106645395545","0.33974884348000967","0.7178136654812554","0.9599768933546045","0.3780648220012457","65d6e370-c05b-4b2f-bd17-d914d1d056c7","0.972"
"0.9928023573072493","Earthquake+Tsunami","0.0025989267705801566","0.00043898672620623636","0.004159729195964301","0.9969620865032136","0.9995610132737938","0.9928023573072493","dad76485-9694-409e-ac7f-c64c7bd5c32c","0.999"
"0.9915808489613148","Earthquake+Tsunami","0.0032781692748777846","0.0005417937299661002","0.004599188033841295","0.9961800369951561","0.9994582062700339","0.9915808489613148","6f57cfb6-d244-40d5-96f5-03aeddd5e30a","1.0"
"0.9102225433275164","Earthquake+Tsunami","0.03241686834159052","0.005475558245126799","0.05188503008576628","0.9621075734132827","0.9945244417548732","0.9102225433275164","929f1040-6224-409d-b4e3-58946daf3b91","0.993"
"0.38375399632453866","Earthquake+Tsunami","0.2314118739237665","0.023039858333676833","0.361794271418018","0.7455482677425567","0.9769601416663232","0.38375399632453866","9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","0.982"
"0.9999998292689758","Earthquake+Tsunami","6.206715108536542e-08","1.0673950501249863e-08","9.798992262055606e-08","0.9999999272588984","0.9999999893260495","0.9999998292689758","3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","1.0"
"0.8155833475380004","Earthquake+Tsunami","0.045251613387435774","0.018171641389933546","0.12099339768463024","0.9365767452226307","0.9818283586100665","0.8155833475380004","050589e0-041f-4ac6-83f8-420ac509cdde","0.981"
"0.9991332238130166","Earthquake+Tsunami","0.0003151057566358473","5.4190069543658126e-05","0.0004974803608038814","0.9996307041738205","0.9999458099304563","0.9991332238130166","09c131b1-089b-4f1a-a14b-b705be8f5520","1.0"
"0.9928023573072493","Earthquake+Tsunami","0.0025989267705801566","0.00043898672620623636","0.004159729195964301","0.9969620865032136","0.9995610132737938","0.9928023573072493","44656106-10fc-423d-bc34-f37a947493e3","1.0"
"0.3780648220012457","Earthquake+Tsunami","0.2421632278733491","0.040023106645395545","0.33974884348000967","0.7178136654812554","0.9599768933546045","0.3780648220012457","0b4073d3-7d7e-439d-b9ef-1373291f37cc","0.95"
"0.3773838510701973","Earthquake+Tsunami","0.23659390629461896","0.02416590474183755","0.3618563378933462","0.7392401889635435","0.9758340952581624","0.3773838510701973","bef20397-d546-475e-8dfd-b58a422019d8","0.978"
"0.9999883446546949","Earthquake+Tsunami","4.53824794099944e-06","7.500510418312345e-07","6.367046322286463e-06","0.9999947117010172","0.9999992499489582","0.9999883446546949","f5e2c264-da77-4971-99d8-0c3d7562b986","1.0"
"0.9999997271599701","Earthquake+Tsunami","9.918761656457775e-08","1.7057714019053094e-08","1.5659469931872394e-07","0.9999998837546694","0.999999982942286","0.9999997271599701","d8ffb229-86e0-4907-97a5-84eb9ac248e6","1.0"
"0.8728642447226829","Earthquake+Tsunami","0.028409360677801643","0.009732974837858177","0.08899341976165731","0.9618576644843402","0.9902670251621418","0.8728642447226829","0bf34a44-f8fe-41b4-a241-7c71ed06aa20","0.99"
"0.38375399632453866","Earthquake+Tsunami","0.2314118739237665","0.023039858333676833","0.361794271418018","0.7455482677425567","0.9769601416663232","0.38375399632453866","340d43a0-35ff-4738-b11b-849434a662a4","0.978"
"0.9928023573072493","Earthquake+Tsunami","0.0025989267705801566","0.00043898672620623636","0.004159729195964301","0.9969620865032136","0.9995610132737938","0.9928023573072493","defedc4a-ea47-45c6-87d5-4c374f6920e5","1.0"
"0.9991332238130166","Earthquake+Tsunami","0.0003151057566358473","5.4190069543658126e-05","0.0004974803608038814","0.9996307041738205","0.9999458099304563","0.9991332238130166","837b8691-a385-4519-a7bc-6eed26afc2a7","1.0"
"0.9991332238130166","Earthquake+Tsunami","0.0003151057566358473","5.4190069543658126e-05","0.0004974803608038814","0.9996307041738205","0.9999458099304563","0.9991332238130166","3ae2a39b-f04a-4654-8d64-672205c5007d","1.0"
"0.9989876809922713","Earthquake+Tsunami","0.00039681201438557245","6.695764422293138e-05","0.0005485493491201865","0.9995362303413915","0.9999330423557771","0.9989876809922713","ed2894f9-e44b-4ff0-acfb-b05b1367702c","1.0"
"0.9991332238130166","Earthquake+Tsunami","0.0003151057566358473","5.4190069543658126e-05","0.0004974803608038814","0.9996307041738205","0.9999458099304563","0.9991332238130166","b2873126-ea18-4a3b-99d8-ad908f80ef8d","1.0"
"0.9999883446546949","Earthquake+Tsunami","4.53824794099944e-06","7.500510418312345e-07","6.367046322286463e-06","0.9999947117010172","0.9999992499489582","0.9999883446546949","afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","1.0"
"0.9928023573072493","Earthquake+Tsunami","0.0025989267705801566","0.00043898672620623636","0.004159729195964301","0.9969620865032136","0.9995610132737938","0.9928023573072493","113a852a-6876-4931-81f0-5158f0c70d14","1.0"
"0.9978948343448433","Earthquake+Tsunami","0.000765306923025566","0.00013161306801767747","0.0012082456641134831","0.9991030800089568","0.9998683869319823","0.9978948343448433","9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","1.0"
