"moderate","collprev","guid","immocc","complete","hazard","insignific","lifesfty","heavy","failure_probability"
"0.10576927486390975","0.76731971746008","fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.954"
"0.42656799934532785","0.08286846661332442","65d6e370-c05b-4b2f-bd17-d914d1d056c7","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.746"
"0.10576927486390975","0.76731971746008","dad76485-9694-409e-ac7f-c64c7bd5c32c","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.949"
"0.11530228150827393","0.7520973012392855","6f57cfb6-d244-40d5-96f5-03aeddd5e30a","0.93151837389308","0.7520973012392855","Earthquake+Tsunami","0.06848162610691999","0.8162160923848061","0.06411879114552055","0.935"
"0.3418651879119406","0.2479357675822036","929f1040-6224-409d-b4e3-58946daf3b91","0.8229611003759986","0.2479357675822036","Earthquake+Tsunami","0.17703889962400143","0.481095912464058","0.23316014488185438","0.854"
"0.4793003467442781","0.09351830110960052","9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.777"
"1.1143900130683448e-05","0.999975406441075","3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","0.9999935252300262","0.999975406441075","Earthquake+Tsunami","6.474769973840999e-06","0.9999823813298955","6.974888820510117e-06","1.0"
"0.2414571672413498","0.33615687784987114","050589e0-041f-4ac6-83f8-420ac509cdde","0.8673578098458138","0.33615687784987114","Earthquake+Tsunami","0.1326421901541862","0.625900642604464","0.28974376475459285","0.865"
"0.013573337127205654","0.9700448978781043","09c131b1-089b-4f1a-a14b-b705be8f5520","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.991"
"0.10576927486390975","0.76731971746008","44656106-10fc-423d-bc34-f37a947493e3","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.945"
"0.42656799934532785","0.08286846661332442","0b4073d3-7d7e-439d-b9ef-1373291f37cc","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.765"
"0.48048634409828667","0.07770131558976939","bef20397-d546-475e-8dfd-b58a422019d8","0.7369968936465565","0.07770131558976939","Earthquake+Tsunami","0.2630031063534435","0.25651054954826985","0.17880923395850046","0.721"
"0.00063447542774131","0.998635862458427","f5e2c264-da77-4971-99d8-0c3d7562b986","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"1.2117290096647082e-05","0.9999732582592704","d8ffb229-86e0-4907-97a5-84eb9ac248e6","0.9999929596761309","0.9999732582592704","Earthquake+Tsunami","7.0403238691119086e-06","0.9999808423860342","7.584126763826582e-06","1.0"
"0.17401817987090062","0.4686033951330492","0bf34a44-f8fe-41b4-a241-7c71ed06aa20","0.9198412824142492","0.4686033951330492","Earthquake+Tsunami","0.08015871758575077","0.7458231025433486","0.2772197074102994","0.92"
"0.4793003467442781","0.09351830110960052","340d43a0-35ff-4738-b11b-849434a662a4","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.803"
"0.10576927486390975","0.76731971746008","defedc4a-ea47-45c6-87d5-4c374f6920e5","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.948"
"0.013573337127205654","0.9700448978781043","837b8691-a385-4519-a7bc-6eed26afc2a7","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.993"
"0.013573337127205654","0.9700448978781043","3ae2a39b-f04a-4654-8d64-672205c5007d","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.992"
"0.014506674364824335","0.9683278372972177","ed2894f9-e44b-4ff0-acfb-b05b1367702c","0.9901829756930449","0.9683278372972177","Earthquake+Tsunami","0.00981702430695508","0.9756763013282206","0.007348464031002866","0.986"
"0.013573337127205654","0.9700448978781043","b2873126-ea18-4a3b-99d8-ad908f80ef8d","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.989"
"0.00063447542774131","0.998635862458427","afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.10576927486390975","0.76731971746008","113a852a-6876-4931-81f0-5158f0c70d14","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.946"
"0.06958395519412486","0.846434633992286","9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","0.9595706980074767","0.846434633992286","Earthquake+Tsunami","0.04042930199252326","0.8899867428133519","0.04355210882106586","0.948"
"0.10576927486390975","0.76731971746008","4ac0a784-57a8-4437-a8ec-c0fefb85012e","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.938"
"0.08268263362223882","0.697637194362301","25bc3a48-29df-4335-ac04-3e186976490c","0.9619135547637143","0.697637194362301","Earthquake+Tsunami","0.03808644523628568","0.8792309211414755","0.1815937267791745","0.956"
"0.4793003467442781","0.09351830110960052","3982d6c7-d2a6-48cf-ac99-de1dd8b42864","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.761"
"0.10576927486390975","0.76731971746008","da7413ba-bc45-46a7-9516-9bc314d5604b","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.945"
"0.4793003467442781","0.09351830110960052","a436c038-22b1-4339-920b-cf430b4cf2e4","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.794"
"0.42656799934532785","0.08286846661332442","22aa85a2-af0c-436c-9f60-e4ff7254ec6f","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.752"
"0.00063447542774131","0.998635862458427","919c4386-34ce-431d-ad36-ebad80c126d2","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.4793003467442781","0.09351830110960052","c9bb8034-b154-4950-8361-252628a6dcc9","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.791"
"0.42656799934532785","0.08286846661332442","1d96de99-2ee5-4756-bdba-322a6f705154","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.759"
"0.00063447542774131","0.998635862458427","7c6bc4b6-d2ae-4eee-966c-da7692f14c22","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.42656799934532785","0.08286846661332442","6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.706"
"0.1230684748317683","0.7292634601829553","a0821314-04d0-4c93-aee7-de7b199cfafa","0.936267546000523","0.7292634601829553","Earthquake+Tsunami","0.06373245399947702","0.8131990711687547","0.08393561098579938","0.932"
"0.407227116794121","0.12445183268500223","f1d4feff-8c78-4f78-b2a3-1092748090d1","0.758135096824664","0.12445183268500223","Earthquake+Tsunami","0.24186490317533604","0.35090798003054297","0.22645614734554073","0.762"
"0.2305871853568262","0.3499636303607182","ff321c63-684b-4752-b9d2-6febe12aeee8","0.8937836662604824","0.3499636303607182","Earthquake+Tsunami","0.10621633373951755","0.6631964809036562","0.31323285054293803","0.892"
"0.27002423255096963","0.27512117747382936","c75351fa-df5b-49f9-b7a6-b12ab3d65ed8","0.8819844073001297","0.27512117747382936","Earthquake+Tsunami","0.11801559269987028","0.6119601747491601","0.33683899727533073","0.881"
"0.42656799934532785","0.08286846661332442","9e34826a-b8a3-494b-9e53-4ac2366e0c71","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.752"
"0.14347259654569955","0.6843767309179094","afcdcdeb-5c8a-4e77-b049-c5a6c670b6c1","0.9257010321121326","0.6843767309179094","Earthquake+Tsunami","0.07429896788786738","0.7822284355664331","0.09785170464852366","0.925"
"0.4793003467442781","0.09351830110960052","2262169f-8798-48d7-a8d7-9efaa5c855f8","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.783"
"0.39130004524382644","0.13918474715492174","bc950354-d500-4419-a94c-076f8a40d7ab","0.7973606793487458","0.13918474715492174","Earthquake+Tsunami","0.20263932065125423","0.4060606341049193","0.2668758869499976","0.795"
"0.2879060003251006","0.380995123978757","5b8fef41-677a-4834-9385-c4d6447209f8","0.8290036345309653","0.380995123978757","Earthquake+Tsunami","0.17099636546903474","0.5410976342058647","0.16010251022710764","0.825"
"5.851582531013477e-05","0.9998708609749769","9d6bfe3c-162e-4787-b44e-752047978163","0.9999660014443528","0.9998708609749769","Earthquake+Tsunami","3.399855564722998e-05","0.9999074856190426","3.6624644065730294e-05","1.0"
"0.00063447542774131","0.998635862458427","4a6e0e6e-7216-4a33-b676-31df915546a0","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.00063447542774131","0.998635862458427","9f2348e7-c47b-4a38-a66e-e96c15713f62","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.00039544419192094615","0.9991272911708082","c78d3787-58af-43d1-a3de-dfa49028ee37","0.9997702411049821","0.9991272911708082","Earthquake+Tsunami","0.00022975889501786195","0.9993747969130612","0.0002475057422529625","1.0"
"0.00063447542774131","0.998635862458427","62d9e096-dea7-40ab-9c70-5102aea07414","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.06958395519412486","0.846434633992286","620e9442-8f5c-4acb-931f-6c73cf2850e4","0.9595706980074767","0.846434633992286","Earthquake+Tsunami","0.04042930199252326","0.8899867428133519","0.04355210882106586","0.959"
"0.10576927486390975","0.76731971746008","bf596f12-6351-4ad8-b403-5b39e7d4acf6","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.953"
"0.10576927486390975","0.76731971746008","6a721f32-7e1f-4e3f-bc62-819f389967c4","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.933"
"0.4793003467442781","0.09351830110960052","2fa5284b-6148-40bd-8982-bf7eb678a9b0","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.765"
"0.48048634409828667","0.07770131558976939","526ade78-5a31-40c2-ab20-87d07edb7754","0.7369968936465565","0.07770131558976939","Earthquake+Tsunami","0.2630031063534435","0.25651054954826985","0.17880923395850046","0.749"
"0.013573337127205654","0.9700448978781043","fb5bbb64-4b04-4716-bdb2-8e9d20df05a4","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.994"
"0.42656799934532785","0.08286846661332442","2d86b2cb-03d0-4466-babc-75581324cd6c","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.75"
"0.42656799934532785","0.08286846661332442","b0416b40-ee56-421d-87b3-5418870230ac","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.752"
"0.11390514609693314","0.6130001180076793","87a2ce2e-ba7e-469f-95a4-b63ca5676ead","0.9475313990508267","0.6130001180076793","Earthquake+Tsunami","0.05246860094917327","0.8336262529538936","0.2206261349462143","0.937"
"0.013573337127205654","0.9700448978781043","b0857d4b-16cb-4e87-a40e-b7981e3b6734","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.991"
"0.00063447542774131","0.998635862458427","b91089f5-b4dc-4c65-8249-d8321e5756fa","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.06958395519412486","0.846434633992286","8f2aa279-a3fe-4569-acc3-d942e42eb353","0.9595706980074767","0.846434633992286","Earthquake+Tsunami","0.04042930199252326","0.8899867428133519","0.04355210882106586","0.964"
"0.10576927486390975","0.76731971746008","f214251f-0268-4c0b-b1ff-849e69ebf3fa","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.963"
"0.5248282711352421","0.0435230126963027","38f5cc7d-f4e1-439a-99cb-f7d21193872c","0.7156748684922676","0.0435230126963027","Earthquake+Tsunami","0.2843251315077324","0.19084659735702542","0.1473235846607227","0.717"
"0.22346634413346256","0.3634823732897856","b6d5624b-b936-45da-ac36-74502ca94370","0.902332791386026","0.3634823732897856","Earthquake+Tsunami","0.09766720861397404","0.6788664472525634","0.3153840739627778","0.904"
"0.10576927486390975","0.76731971746008","6d2d8fe7-8c84-497f-b349-837a9594d94f","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.936"
"0.013573337127205654","0.9700448978781043","e9edf67a-2795-4954-b5da-1f21017ac747","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.993"
"0.42656799934532785","0.08286846661332442","8a89e8b0-0833-4c74-b5e2-f804ff6374ba","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.73"
"0.10576927486390975","0.76731971746008","c840abb8-34e2-433a-b5a9-ab6236d6ed6b","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.931"
"0.05154669553408853","0.8866031775645323","b0b17978-2ff6-48a1-9588-dab4af290db2","0.9733059387756114","0.8866031775645323","Earthquake+Tsunami","0.026694061224388554","0.9217592432415229","0.03515606567699059","0.984"
"0.42656799934532785","0.08286846661332442","116feed3-7928-4864-8d9f-a84f0ff849a2","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.752"
"0.003676446259269439","0.993046883288069","1fc64c40-c2cd-486f-bb22-3b2a0d093182","0.9982769360704956","0.993046883288069","Earthquake+Tsunami","0.001723063929504387","0.9946004898112262","0.0015536065231571694","0.998"
"0.10576927486390975","0.76731971746008","e02f45c9-5ffb-48d1-98c4-891ea00d3df5","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.938"
"0.10576927486390975","0.76731971746008","5010a2d7-6fed-4893-b2c2-072675da54aa","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.95"
"0.42656799934532785","0.08286846661332442","f34d3d50-7ec4-4311-9c63-daaf51889bf7","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.764"
"0.00063447542774131","0.998635862458427","a3fad8a7-faec-4c17-8d90-962ffd803026","0.999623165227537","0.998635862458427","Earthquake+Tsunami","0.00037683477246297503","0.9989886897997957","0.0003528273413687666","1.0"
"0.013573337127205654","0.9700448978781043","2f64c256-5760-4ff6-8be4-8f5b72ca84e3","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.993"
"0.10576927486390975","0.76731971746008","4fa0a76a-7755-4a93-91e7-b2dde4055533","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.946"
"0.39950557542118975","0.11832807231892634","37532fb5-5107-478b-ab2c-158eb001c68b","0.7678813813997769","0.11832807231892634","Earthquake+Tsunami","0.2321186186002231","0.36837580597858716","0.2500477336596608","0.792"
"0.22707774760062704","0.5705368798010805","0ed927c4-b960-4b09-9cac-435a407805a4","0.8935739982334339","0.5705368798010805","Earthquake+Tsunami","0.10642600176656614","0.6664962506328068","0.09595937083172634","0.881"
"0.013573337127205654","0.9700448978781043","d25c7bba-5ce1-4837-b28e-f0b0d5c1cbbc","0.9921136913785485","0.9700448978781043","Earthquake+Tsunami","0.007886308621451454","0.9785403542513429","0.008495456373238564","0.992"
"0.014506674364824335","0.9683278372972177","a8ff7f86-8c45-4643-a745-dc1892fe01ca","0.9901829756930449","0.9683278372972177","Earthquake+Tsunami","0.00981702430695508","0.9756763013282206","0.007348464031002866","0.993"
"0.4793003467442781","0.09351830110960052","0b187888-88f9-40ee-8475-3cf9bac0232d","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.787"
"0.4793003467442781","0.09351830110960052","0f644ce7-84a8-4846-a678-34edca42872b","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.77"
"0.42656799934532785","0.08286846661332442","689226e6-13d3-4d4f-a8c1-4ff51896c850","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.745"
"0.4793003467442781","0.09351830110960052","199ee2fc-b2e3-4b70-aff4-079884f6c874","0.7753631956970253","0.09351830110960052","Earthquake+Tsunami","0.22463680430297472","0.29606284895274715","0.20254454784314663","0.78"
"0.42656799934532785","0.08286846661332442","647b8845-9323-4f76-88d5-e83ca0a98dd2","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.751"
"0.42656799934532785","0.08286846661332442","6764738c-813b-4fc9-a712-bc6f0a50c92a","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.751"
"0.42656799934532785","0.08286846661332442","4e5750f1-f06e-4d35-9d13-722badb90b8c","0.7466479426233434","0.08286846661332442","Earthquake+Tsunami","0.25335205737665656","0.3200799432780156","0.23721147666469117","0.754"
"0.10576927486390975","0.76731971746008","efcdb2ba-67c8-4898-bb9e-52a1fe56b425","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.95"
"0.0005820180228293115","0.998719627054553","e3aa0f65-ec6e-43ba-bec1-3f6b415d7686","0.9996985951364266","0.998719627054553","Earthquake+Tsunami","0.0003014048635734401","0.9991165771135972","0.0003969500590442765","1.0"
"0.10576927486390975","0.76731971746008","4ce3c080-1089-4d1a-b695-41ea767f9f5d","0.9452261397239473","0.76731971746008","Earthquake+Tsunami","0.05477386027605269","0.8394568648600376","0.07213714739995758","0.933"
"0.39717957538575177","0.09603264180897977","74a18755-ed4d-4006-a325-1dcf482e7afe","0.7931014794794661","0.09603264180897977","Earthquake+Tsunami","0.20689852052053392","0.3959219040937143","0.29988926228473456","0.794"
"6.812101876429999e-05","0.9998608431052382","d942afd0-04bf-408c-8276-ce224e7fc30f","0.9999587239208176","0.9998608431052382","Earthquake+Tsunami","4.127607918236187e-05","0.9998906029020533","2.9759796815187478e-05","1.0"
"1.4093831255612699e-05","0.9999692291902746","860d3b55-f854-4103-b928-df889b665613","0.9999904623568069","0.9999692291902746","Earthquake+Tsunami","9.537643193113787e-06","0.9999763685255513","7.139335276629133e-06","1.0"
"0.05154669553408853","0.8866031775645323","ce1af8dc-03bf-401e-a878-ca6a83821abf","0.9733059387756114","0.8866031775645323","Earthquake+Tsunami","0.026694061224388554","0.9217592432415229","0.03515606567699059","0.973"
"0.00039544419192094615","0.9991272911708082","b5407272-eb12-4b38-bb5a-8cdc9bc2bf6b","0.9997702411049821","0.9991272911708082","Earthquake+Tsunami","0.00022975889501786195","0.9993747969130612","0.0002475057422529625","0.998"
"0.00039544419192094615","0.9991272911708082","65b68b70-c386-4dfd-bd72-56f04c7e3dbb","0.9997702411049821","0.9991272911708082","Earthquake+Tsunami","0.00022975889501786195","0.9993747969130612","0.0002475057422529625","1.0"
"0.00039544419192094615","0.9991272911708082","fa7ef02a-2375-4c98-bce2-8d8e28ac9668","0.9997702411049821","0.9991272911708082","Earthquake+Tsunami","0.00022975889501786195","0.9993747969130612","0.0002475057422529625","1.0"
"0.19547698239832823","0.5699730422372995","06af48da-bacd-448d-83cc-17981a52defe","0.8987699505849231","0.5699730422372995","Earthquake+Tsunami","0.10123004941507685","0.7032929681865949","0.13331992594929543","0.908"
