"insignific","collprev","guid","demandtype","hazardval","immocc","complete","moderate","heavy","lifesfty","failure_probability"
"0.9199237250757037","0.0004839805230181592","fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.089"
"0.958414987248623","8.550673059307001e-05","65d6e370-c05b-4b2f-bd17-d914d1d056c7","sd","0.22882754957154391","0.04158501275137702","8.550673059307001e-05","0.03878265197802751","0.0027168540427564398","0.0028023607733495097","0.039"
"0.9199237250757037","0.0004839805230181592","dad76485-9694-409e-ac7f-c64c7bd5c32c","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.078"
"0.958414987248623","8.550673059307001e-05","6f57cfb6-d244-40d5-96f5-03aeddd5e30a","sd","0.22882754957154391","0.04158501275137702","8.550673059307001e-05","0.03878265197802751","0.0027168540427564398","0.0028023607733495097","0.041"
"0.9199237250757037","0.0004839805230181592","929f1040-6224-409d-b4e3-58946daf3b91","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.062"
"0.9758283048651357","0.00017331971780195493","9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","sd","0.22882754957154391","0.024171695134864227","0.00017331971780195493","0.02342165291679154","0.0005767225002707326","0.0007500422180726875","0.02"
"0.9308901509005146","0.00036662241082892696","3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","sd","0.21085679885745048","0.06910984909948535","0.00036662241082892696","0.06305805087502714","0.005685175813629281","0.006051798224458208","0.086"
"0.9579947499279189","0.00022383765390075243","050589e0-041f-4ac6-83f8-420ac509cdde","sd","0.2988767994403839","0.0420052500720811","0.00022383765390075243","0.04029858103450906","0.0014828313836712833","0.0017066690375720358","0.032"
"0.934465706702852","0.000332002054373461","09c131b1-089b-4f1a-a14b-b705be8f5520","sd","0.20486655457019798","0.065534293297148","0.000332002054373461","0.059928668082848795","0.005273623159925736","0.005605625214299197","0.07"
"0.9199237250757037","0.0004839805230181592","44656106-10fc-423d-bc34-f37a947493e3","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.076"
"0.958414987248623","8.550673059307001e-05","0b4073d3-7d7e-439d-b9ef-1373291f37cc","sd","0.22882754957154391","0.04158501275137702","8.550673059307001e-05","0.03878265197802751","0.0027168540427564398","0.0028023607733495097","0.043"
"0.9822650830988119","0.00011477893425011163","bef20397-d546-475e-8dfd-b58a422019d8","sd","0.20486655457019798","0.01773491690118815","0.00011477893425011163","0.01724967732877976","0.0003704606381582798","0.0004852395724083914","0.019"
"0.958414987248623","8.550673059307001e-05","f5e2c264-da77-4971-99d8-0c3d7562b986","sd","0.22882754957154391","0.04158501275137702","8.550673059307001e-05","0.03878265197802751","0.0027168540427564398","0.0028023607733495097","0.041"
"0.9308901509005146","0.00036662241082892696","d8ffb229-86e0-4907-97a5-84eb9ac248e6","sd","0.21085679885745048","0.06910984909948535","0.00036662241082892696","0.06305805087502714","0.005685175813629281","0.006051798224458208","0.075"
"0.9241418587397754","0.0005186470279552574","0bf34a44-f8fe-41b4-a241-7c71ed06aa20","sd","0.2988767994403839","0.07585814126022464","0.0005186470279552574","0.0699441948103276","0.005395299421941788","0.005913946449897046","0.083"
"0.9758283048651357","0.00017331971780195493","340d43a0-35ff-4738-b11b-849434a662a4","sd","0.22882754957154391","0.024171695134864227","0.00017331971780195493","0.02342165291679154","0.0005767225002707326","0.0007500422180726875","0.026"
"0.9199237250757037","0.0004839805230181592","defedc4a-ea47-45c6-87d5-4c374f6920e5","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.074"
"0.934465706702852","0.000332002054373461","837b8691-a385-4519-a7bc-6eed26afc2a7","sd","0.20486655457019798","0.065534293297148","0.000332002054373461","0.059928668082848795","0.005273623159925736","0.005605625214299197","0.071"
"0.934465706702852","0.000332002054373461","3ae2a39b-f04a-4654-8d64-672205c5007d","sd","0.20486655457019798","0.065534293297148","0.000332002054373461","0.059928668082848795","0.005273623159925736","0.005605625214299197","0.072"
"0.9675138743179316","5.439260869443252e-05","ed2894f9-e44b-4ff0-acfb-b05b1367702c","sd","0.20486655457019798","0.03248612568206844","5.439260869443252e-05","0.03048822983643359","0.0019435032369404179","0.0019978958456348503","0.028"
"0.934465706702852","0.000332002054373461","b2873126-ea18-4a3b-99d8-ad908f80ef8d","sd","0.20486655457019798","0.065534293297148","0.000332002054373461","0.059928668082848795","0.005273623159925736","0.005605625214299197","0.078"
"0.958414987248623","8.550673059307001e-05","afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","sd","0.22882754957154391","0.04158501275137702","8.550673059307001e-05","0.03878265197802751","0.0027168540427564398","0.0028023607733495097","0.034"
"0.9199237250757037","0.0004839805230181592","113a852a-6876-4931-81f0-5158f0c70d14","sd","0.22882754957154391","0.0800762749242962","0.0004839805230181592","0.07258231362565684","0.00700998077562119","0.00749396129863935","0.074"
"0.934465706702852","0.000332002054373461","9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","sd","0.20486655457019798","0.065534293297148","0.000332002054373461","0.059928668082848795","0.005273623159925736","0.005605625214299197","0.062"
