"insignific","collprev","moderate","complete","guid","immocc","heavy","hazard","lifesfty","failure_probability"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.989"
"0.20995060810763921","0.1065917931199804","0.4195208329103756","0.1065917931199804","65d6e370-c05b-4b2f-bd17-d914d1d056c7","0.7900493918923608","0.26393676586200476","Earthquake+Tsunami","0.37052855898198517","0.806"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","dad76485-9694-409e-ac7f-c64c7bd5c32c","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.988"
"0.01594920001338329","0.9377482421002293","0.029128669780755012","0.9377482421002293","6f57cfb6-d244-40d5-96f5-03aeddd5e30a","0.9840507999866167","0.017173888105632362","Earthquake+Tsunami","0.9549221302058617","0.982"
"0.08352001958719069","0.58562349589223","0.18755699936317782","0.58562349589223","929f1040-6224-409d-b4e3-58946daf3b91","0.9164799804128093","0.14329948515740154","Earthquake+Tsunami","0.7289229810496315","0.921"
"0.1790110573739756","0.1180067457488988","0.46854189640146016","0.1180067457488988","9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","0.8209889426260244","0.23444030047566544","Earthquake+Tsunami","0.35244704622456424","0.837"
"3.0971374243016214e-07","0.9999986485011076","6.143086483945126e-07","0.9999986485011076","3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","0.9999996902862576","4.274765015299664e-07","Earthquake+Tsunami","0.9999990759776092","1.0"
"0.05021414148161574","0.6352365530131829","0.10709588016491345","0.6352365530131829","050589e0-041f-4ac6-83f8-420ac509cdde","0.9497858585183843","0.20745342534028788","Earthquake+Tsunami","0.8426899783534708","0.944"
"0.0013842179043478398","0.9939596837078414","0.002745557956715383","0.9939596837078414","09c131b1-089b-4f1a-a14b-b705be8f5520","0.9986157820956522","0.0019105404310953977","Earthquake+Tsunami","0.9958702241389368","1.0"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","44656106-10fc-423d-bc34-f37a947493e3","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.99"
"0.20995060810763921","0.1065917931199804","0.4195208329103756","0.1065917931199804","0b4073d3-7d7e-439d-b9ef-1373291f37cc","0.7900493918923608","0.26393676586200476","Earthquake+Tsunami","0.37052855898198517","0.809"
"0.2107942719106859","0.10018527754734946","0.47724565411853215","0.10018527754734946","bef20397-d546-475e-8dfd-b58a422019d8","0.7892057280893141","0.2117747964234325","Earthquake+Tsunami","0.31196007397078196","0.779"
"3.075159362897484e-05","0.9998691419550041","6.14474722827607e-05","0.9998691419550041","f5e2c264-da77-4971-99d8-0c3d7562b986","0.999969248406371","3.865897908417182e-05","Earthquake+Tsunami","0.9999078009340883","1.0"
"3.492623605882983e-07","0.9999984759226712","6.9275223912868e-07","0.9999984759226712","d8ffb229-86e0-4907-97a5-84eb9ac248e6","0.9999996507376394","4.820627290680335e-07","Earthquake+Tsunami","0.9999989579854003","1.0"
"0.024691375983189823","0.7596001351238367","0.062222392196499166","0.7596001351238367","0bf34a44-f8fe-41b4-a241-7c71ed06aa20","0.9753086240168102","0.15348609669647428","Earthquake+Tsunami","0.913086231820311","0.976"
"0.1790110573739756","0.1180067457488988","0.46854189640146016","0.1180067457488988","340d43a0-35ff-4738-b11b-849434a662a4","0.8209889426260244","0.23444030047566544","Earthquake+Tsunami","0.35244704622456424","0.809"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","defedc4a-ea47-45c6-87d5-4c374f6920e5","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.987"
"0.0013842179043478398","0.9939596837078414","0.002745557956715383","0.9939596837078414","837b8691-a385-4519-a7bc-6eed26afc2a7","0.9986157820956522","0.0019105404310953977","Earthquake+Tsunami","0.9958702241389368","0.997"
"0.0013842179043478398","0.9939596837078414","0.002745557956715383","0.9939596837078414","3ae2a39b-f04a-4654-8d64-672205c5007d","0.9986157820956522","0.0019105404310953977","Earthquake+Tsunami","0.9958702241389368","0.999"
"0.0017321836165100635","0.9935525283883314","0.00300649188910751","0.9935525283883314","ed2894f9-e44b-4ff0-acfb-b05b1367702c","0.9982678163834899","0.0017087961060510137","Earthquake+Tsunami","0.9952613244943824","0.998"
"0.0013842179043478398","0.9939596837078414","0.002745557956715383","0.9939596837078414","b2873126-ea18-4a3b-99d8-ad908f80ef8d","0.9986157820956522","0.0019105404310953977","Earthquake+Tsunami","0.9958702241389368","0.998"
"3.075159362897484e-05","0.9998691419550041","6.14474722827607e-05","0.9998691419550041","afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","0.999969248406371","3.865897908417182e-05","Earthquake+Tsunami","0.9999078009340883","1.0"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","113a852a-6876-4931-81f0-5158f0c70d14","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.983"
"0.015260976897409906","0.9334056241447657","0.030269725898160682","0.9334056241447657","9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","0.9847390231025901","0.021063673059663723","Earthquake+Tsunami","0.9544692972044294","0.983"
"0.012727557859560479","0.9418648262238006","0.026403878828084704","0.9418648262238006","4ac0a784-57a8-4437-a8ec-c0fefb85012e","0.9872724421404395","0.019003737088554185","Earthquake+Tsunami","0.9608685633123548","0.99"
